order_id,order_date,raw_order_time,order_hour,item_id,item_name,category,price,revenue
1,,11:38:36 AM,11,109.0,Korean Beef Bowl,Asian,17.95,17.95
2,,11:57:40 AM,11,108.0,Tofu Pad Thai,Asian,14.5,14.5
2,,11:57:40 AM,11,124.0,Spaghetti,Italian,14.5,14.5
2,,11:57:40 AM,11,117.0,Chicken Burrito,Mexican,12.95,12.95
2,,11:57:40 AM,11,129.0,Mushroom Ravioli,Italian,15.5,15.5
2,,11:57:40 AM,11,106.0,French Fries,American,7.0,7.0
3,,12:12:28 PM,12,117.0,Chicken Burrito,Mexican,12.95,12.95
3,,12:12:28 PM,12,119.0,Chicken Torta,Mexican,11.95,11.95
4,,12:16:31 PM,12,117.0,Chicken Burrito,Mexican,12.95,12.95
5,,12:21:30 PM,12,117.0,Chicken Burrito,Mexican,12.95,12.95
6,,12:29:36 PM,12,101.0,Hamburger,American,12.95,12.95
6,,12:29:36 PM,12,114.0,Potstickers,Asian,9.0,9.0
7,,12:50:37 PM,12,123.0,Chips & Guacamole,Mexican,9.0,9.0
8,,12:51:37 PM,12,123.0,Chips & Guacamole,Mexican,9.0,9.0
9,,12:52:01 PM,12,108.0,Tofu Pad Thai,Asian,14.5,14.5
9,,12:52:01 PM,12,126.0,Fettuccine Alfredo,Italian,14.5,14.5
9,,12:52:01 PM,12,110.0,Pork Ramen,Asian,17.95,17.95
9,,12:52:01 PM,12,117.0,Chicken Burrito,Mexican,12.95,12.95
9,,12:52:01 PM,12,117.0,Chicken Burrito,Mexican,12.95,12.95
9,,12:52:01 PM,12,129.0,Mushroom Ravioli,Italian,15.5,15.5
9,,12:52:01 PM,12,122.0,Chips & Salsa,Mexican,7.0,7.0
9,,12:52:01 PM,12,130.0,Shrimp Scampi,Italian,19.95,19.95
9,,12:52:01 PM,12,132.0,Eggplant Parmesan,Italian,16.95,16.95
10,,1:00:15 PM,13,129.0,Mushroom Ravioli,Italian,15.5,15.5
10,,1:00:15 PM,13,105.0,Mac & Cheese,American,7.0,7.0
11,,1:02:59 PM,13,101.0,Hamburger,American,12.95,12.95
11,,1:02:59 PM,13,102.0,Cheeseburger,American,13.95,13.95
11,,1:02:59 PM,13,102.0,Cheeseburger,American,13.95,13.95
